"AT_ID","DIVISION","YEAR","DEPARTURE_AIRPORT","STOPOVER_1","STOPOVER_2","ARRIVAL_AIRPORT","JOURNEY_TYPE","FLIGHT_CLASS","PASSENGER_TYPE","TRAVEL_REASON_1","TRAVEL_REASON_2","REMARKS","DISTANCE_KM","EMISSIONS_KGCO2EQ"
1,"PhysicalGeography",2017,"ZRH","MSY",,"IAD","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,19684,4841
2,"PhysicalGeography",2017,"ZRH",,,"LAX","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,19158,5494
3,"PhysicalGeography",2017,"ZRH",,,"BUD","One-way","Economy","ProfessorIn","Workshop",,,855,222
4,"PhysicalGeography",2017,"VIE",,,"ZRH","One-way","Economy","ProfessorIn","Konferenz",,,654,130
5,"PhysicalGeography",2017,"ZRH","KEF",,"BOS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,13212,2512
6,"PhysicalGeography",2017,"ZRH",,,"FLR","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1010,254
7,"PhysicalGeography",2017,"CGN",,,"ZRH","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Weiteres",,,443,97
8,"PhysicalGeography",2017,"DUS",,,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Prüfungsabnahme",,,988,210
9,"PhysicalGeography",2017,"BRU",,,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Weiteres",,,1066,251
10,"PhysicalGeography",2017,"EAP",,,"BOD","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Weiteres",,,1510,350
11,"PhysicalGeography",2017,"FRA",,,"BLR","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,14914,4005
12,"PhysicalGeography",2017,"ARN",,,"ZRH","One-way","Economy","ProfessorIn","Feldarbeit/Exkursion",,,1537,323
13,"PhysicalGeography",2017,"ZRH",,,"ARN","Hin- und Rückflug","Economy","ProfessorIn","Projektmeeting",,,3074,646
14,"PhysicalGeography",2017,"ZRH","AMS",,"ABZ","Hin- und Rückflug","Economy","ProfessorIn","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,2808,659
15,"PhysicalGeography",2017,"ZRH","ARN",,"UME","Hin- und Rückflug","Economy","ProfessorIn","Feldarbeit/Exkursion",,,4124,894
