"RecID","year","flight_numer","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl Flugsegmente","currencies"
1,2020,"LX4425","economy","CGN","ZRH",1,"USD"
2,2020,"OS420","economy","CDG","VIE",1,"USD"
3,2020,"OS553","economy","VIE","ZRH",1,"USD"
4,2020,"OS763","economy","VIE","VAR",1,"USD"
5,2020,"OS764","economy","VAR","VIE",1,"USD"
6,2020,"SU2392","economy",NA,NA,1,"USD"
7,2020,"SU2393","economy",NA,NA,1,"USD"
8,2020,"LX964","economy","ZRH","BER",1,"USD"
9,2020,"LX969","economy","BER","ZRH",1,"USD"
10,2020,"DL66","economy","ATL","ZRH",1,"USD"
11,2020,"DL67","economy","ZRH","ATL",1,"USD"
12,2020,"EI100","economy","EWR","DUB",2,"USD"
13,2020,"EI342","economy","DUB","ZRH",2,"USD"
14,2020,"LX3218","economy","ZRH","EWR",2,"USD"
15,2020,"IB8771","economy","TRN","MAD",1,"USD"
16,2020,"LX424","economy","ZRH","BHX",1,"USD"
17,2020,"LX425","economy","BHX","ZRH",1,"USD"
18,2020,"LX1736","economy","ZRH","FCO",1,"USD"
19,2020,"LX1737","economy","FCO","ZRH",1,"USD"
20,2020,"LX1955","economy","BCN","ZRH",1,"USD"
21,2020,"LX2027","economy","MAD","ZRH",1,"USD"
22,2020,"LX2142","economy","ZRH","VLC",1,"USD"
23,2020,"LX2143","economy","VLC","ZRH",1,"USD"
24,2020,NA,"economy","FCO","ZRH",1,"USD"
25,2020,NA,"economy","ZRH","FCO",1,"USD"
26,2020,"LX1579","economy","VIE","ZRH",1,"USD"
27,2020,"LX1582","economy","ZRH","VIE",1,"USD"
28,2020,"LH1181","economy","OPO","FRA",1,"USD"
29,2020,"LH9126","economy","FRA","SFO",1,"USD"
30,2020,"LX38","business","ZRH","SFO",1,"USD"
31,2020,"LX38","economy",NA,NA,1,"USD"
32,2020,"LX38","economy","ZRH","SFO",1,"USD"
33,2020,"LX39","economy",NA,NA,1,"USD"
34,2020,"LX39","economy","SFO","ZRH",3,"USD"
35,2020,"LX2580","economy","ZRH","SKG",1,"USD"
36,2020,"LX2581","economy","SKG","ZRH",1,"USD"
37,2020,"LX19","economy","EWR","ZRH",1,"USD"
38,2020,"LX52","economy","ZRH","BOS",1,"USD"
39,2020,"LX1579","economy","VIE","ZRH",1,"USD"
40,2020,"OS562","economy","ZRH","VIE",1,"USD"
41,2020,NA,"economy","BOS","YYZ",1,"USD"
42,2020,NA,"economy","YUL","BOS",1,"USD"
43,2020,"AC872","economy","YYZ","FRA",1,"USD"
44,2020,"AC8295","economy","BOS","YYZ",1,"USD"
45,2020,"LH1186","economy","FRA","ZRH",1,"USD"
46,2020,"LX55","economy","BOS","ZRH",1,"USD"
47,2020,"LX1225","economy","ARN","ZRH",1,"USD"
48,2020,"LX1254","economy","ZRH","ARN",1,"USD"
49,2020,"BA981","economy","TXL","LHR",1,"USD"
50,2020,"BA982","economy","LHR","TXL",1,"USD"
51,2020,"KL1958","economy","ZRH","AMS",1,"USD"
52,2020,"KL3598","economy","AMS","MRS",1,"USD"
53,2020,"A3850","economy",NA,NA,1,"USD"
54,2020,"A3929","economy",NA,NA,1,"USD"
55,2020,"AF428","economy",NA,NA,1,"USD"
56,2020,"AF1615","economy",NA,NA,1,"USD"
57,2020,"KL741","economy",NA,NA,1,"USD"
58,2020,"KL1959","economy",NA,NA,1,"USD"
59,2020,"LH329","economy",NA,NA,1,"USD"
60,2020,"LH1090","economy",NA,NA,1,"USD"
61,2020,"LX19","economy",NA,NA,1,"USD"
62,2020,"LX1662","economy",NA,NA,1,"USD"
63,2020,"LX2612","economy",NA,NA,1,"USD"
64,2020,"T79015","economy",NA,NA,1,"USD"
65,2020,"U21161","economy",NA,NA,1,"USD"
66,2020,"W61559","economy",NA,NA,1,"USD"
67,2020,"KL1958","economy","ZRH","AMS",1,"USD"
68,2020,"KL1969","economy","AMS","ZRH",1,"USD"
69,2020,"KL3598","economy","AMS","MRS",1,"USD"
70,2020,"KL3601","economy","MRS","AMS",1,"USD"
71,2020,"LX980","economy","ZRH","TXL",1,"USD"
72,2020,"LX983","economy","TXL","ZRH",1,"USD"
73,2020,"OS188","economy","STR","VIE",1,"USD"
74,2020,"OS569","economy","VIE","ZRH",1,"USD"
75,2020,NA,"economy","CDG","DME",1,"USD"
76,2020,NA,"economy","DME","CDG",1,"USD"
77,2020,"LX1662","economy","ZRH","VCE",1,"USD"
78,2020,"LX1663","economy","VCE","ZRH",1,"USD"
79,2020,"G31028","economy","CGH","SDU",1,"USD"
80,2020,"G31039","economy","SDU","CGH",1,"USD"
81,2020,"LX93","business","GRU","ZRH",1,"USD"
82,2020,"EW762","economy","CGN","ZRH",1,"USD"
83,2020,"EW763","economy","ZRH","CGN",1,"USD"
84,2020,"LX326","economy","ZRH","LHR",1,"USD"
85,2020,"LX327","economy","LHR","ZRH",1,"USD"
86,2020,"LX1012","economy","ZRH","DUS",1,"USD"
87,2020,"LX1013","economy","DUS","ZRH",1,"USD"
88,2020,"AZ57","economy","FCO","ZRH",1,"USD"
89,2020,"AZ568","economy","FCO","GVA",1,"USD"
90,2020,"AZ571","economy","ZRH","FCO",1,"USD"
91,2020,"AZ572","economy","FCO","ZRH",1,"USD"
92,2020,"AZ575","economy","GVA","FCO",1,"USD"
93,2020,"LX17","economy","JFK","ZRH",1,"USD"
94,2020,"LX1012","economy",NA,NA,1,"USD"
95,2020,"LX1019","economy",NA,NA,1,"USD"
96,2020,"LX1416","economy",NA,NA,1,"USD"
97,2020,"LX1417","economy",NA,NA,1,"USD"
98,2020,"LX1726","economy","ZRH","FCO",1,"USD"
99,2020,"LX1727","economy","FCO","ZRH",1,"USD"
100,2020,"LX1732","economy","ZRH","FCO",5,"USD"
101,2020,"LX1733","economy","FCO","ZRH",2,"USD"
102,2020,"LX1736","economy","ZRH","FCO",1,"USD"
103,2020,"LX1737","economy","FCO","ZRH",3,"USD"
104,2020,"QR95","economy","DOH","ZRH",1,"USD"
105,2020,"QR96","economy","ZRH","DOH",1,"USD"
106,2020,"QR1370","economy","CPT","DOH",1,"USD"
107,2020,"QR1371","economy","DOH","CPT",1,"USD"
108,2020,NA,"economy","AEP","REL",1,"USD"
109,2020,NA,"economy","REL","AEP",1,"USD"
110,2020,"4M7820","economy","EZE","MIA",1,"USD"
111,2020,"4M7821","economy","MIA","EZE",1,"USD"
112,2020,"DL40","economy","JFK","ZRH",1,"USD"
113,2020,"DL407","economy","ZRH","JFK",1,"USD"
114,2020,"EW769","economy","ZRH","CGN",1,"USD"
115,2020,"EW7037","economy","CGN","HAM",1,"USD"
116,2020,"EW7175","economy","MUC","HAM",1,"USD"
117,2020,"EW7176","economy","HAM","MUC",1,"USD"
118,2020,"EW7177","economy","MUC","HAM",1,"USD"
119,2020,"EW7764","economy","HAM","ZRH",1,"USD"
120,2020,"LX1052","economy","ZRH","HAM",1,"USD"
121,2020,"LX1053","economy","HAM","ZRH",1,"USD"
122,2020,"LX1056","economy","ZRH","HAM",1,"USD"
123,2020,"LX1057","economy","HAM","ZRH",1,"USD"
124,2020,"LX1125","economy","MUC","GVA",1,"USD"
125,2020,"LX1267","economy","CPH","ZRH",1,"USD"
126,2020,"LX1272","economy","ZRH","CPH",1,"USD"
127,2020,"LX3559","economy","VIE","ZRH",1,"USD"
128,2020,"UA9726","economy","ZRH","ORD",1,"USD"
129,2020,"UA9727","economy","ORD","ZRH",1,"USD"
130,2020,"UA9808","economy","ZRH","MIA",1,"USD"
131,2020,NA,"economy","EZE","FRA",1,"USD"
132,2020,"A37333","economy","CHQ","ATH",1,"USD"
133,2020,"A37336","economy","ATH","CHQ",1,"USD"
134,2020,"EW7764","economy","HAM","ZRH",3,"USD"
135,2020,"EW7765","economy","ZRH","HAM",1,"USD"
136,2020,"LX181","economy",NA,NA,1,"USD"
137,2020,"LX1050","economy","ZRH","HAM",1,"USD"
138,2020,"LX1052","economy","ZRH","HAM",1,"USD"
139,2020,"LX1053","economy","HAM","ZRH",1,"USD"
140,2020,"LX1054","economy","ZRH","HAM",1,"USD"
141,2020,"LX1583","economy","VIE","ZRH",1,"USD"
142,2020,"LX1831","economy","ATH","ZRH",1,"USD"
143,2020,"LX1838","economy","ZRH","ATH",1,"USD"
144,2020,"LX3570","economy","ZRH","VIE",1,"USD"
145,2020,NA,"economy","DME","ZRH",1,"USD"
146,2020,"LX1055","economy","HAM","ZRH",1,"USD"
147,2020,"LX1056","economy","ZRH","HAM",1,"USD"
148,2020,"LX1305","economy","LED","GVA",1,"USD"
149,2020,"LX1310","economy","ZRH","LED",1,"USD"
150,2020,"LX1326","economy","ZRH","DME",1,"USD"
151,2020,"LX2817","economy","GVA","ZRH",1,"USD"
152,2020,"OS569","economy","VIE","ZRH",1,"USD"
153,2020,"OS570","economy","ZRH","VIE",1,"USD"
154,2020,"KL1958","economy","ZRH","AMS",1,"USD"
155,2020,"KL1969","economy","AMS","ZRH",1,"USD"
156,2020,"KL1995","economy","AMS","KRK",1,"USD"
157,2020,"KL1996","economy","KRK","AMS",1,"USD"
158,2020,"CA1596","economy","HGH","PEK",1,"USD"
159,2020,"MF8146","economy","PEK","HGH",1,"USD"
160,2020,"WK90","economy","ZRH","EZE",1,"USD"
161,2020,"WK91","economy","EZE","ZRH",1,"USD"
162,2020,NA,"economy","SFO","DEN",1,"USD"
163,2020,"BA218","economy","DEN","LHR",1,"USD"
164,2020,"BA285","economy","LHR","SFO",1,"USD"
165,2020,"BA709","economy","ZRH","LHR",1,"USD"
166,2020,"BA980","economy","LHR","TXL",1,"USD"
167,2020,"DL407","economy","ZRH","JFK",2,"USD"
168,2020,"DL2219","economy","JFK","DEN",2,"USD"
169,2020,"LX919","economy","DRS","ZRH",1,"USD"
170,2020,"AC864","economy",NA,NA,1,"USD"
171,2020,"AC6821","economy",NA,NA,1,"USD"
172,2020,"AC6830","economy",NA,NA,1,"USD"
173,2020,"LH2367","economy","ZRH","MUC",1,"USD"
174,2020,"LH2370","economy","MUC","ZRH",1,"USD"
175,2020,"LH9488","economy","MUC","PSA",1,"USD"
176,2020,"LH9489","economy","PSA","MUC",1,"USD"
177,2020,"LX38","economy","ZRH","SFO",1,"USD"
178,2020,"LX39","economy","SFO","ZRH",1,"USD"
179,2020,"LX161","economy","NRT","ZRH",1,"USD"
180,2020,"LX918","economy","ZRH","DRS",1,"USD"
181,2020,"LX919","economy","DRS","ZRH",1,"USD"
182,2020,"NH4782","economy","AKJ","HND",1,"USD"
183,2020,"NH6752","economy","ZRH","NRT",1,"USD"
184,2020,"VY3286","economy","ACE","ZRH",2,"USD"
185,2020,"VY3286","economy","ZRH","ACE",1,"USD"
186,2020,"VY3287","economy","ACE","ZRH",1,"USD"
187,2020,"VY3287","economy","ZRH","ACE",1,"USD"
188,2020,"WK228","economy","ZRH","ACE",1,"USD"
189,2020,"EW7763","economy","ZRH","HAM",2,"USD"
190,2020,"EW7764","economy","HAM","ZRH",1,"USD"
191,2020,"LH219","economy","DRS","FRA",1,"USD"
192,2020,"LH2128","economy","MUC","DRS",1,"USD"
193,2020,"LH2371","economy","ZRH","MUC",1,"USD"
194,2020,"LH5778","economy","FRA","ZRH",1,"USD"
195,2020,"LX316","economy","ZRH","LHR",2,"USD"
196,2020,"LX333","economy","LHR","ZRH",2,"USD"
197,2020,"LX339","economy","LHR","ZRH",1,"USD"
198,2020,"LX450","economy","ZRH","LCY",1,"USD"
199,2020,"LX1057","economy","HAM","ZRH",1,"USD"
200,2020,"LX1059","economy","HAM","ZRH",1,"USD"
201,2020,"AF1376","economy",NA,NA,1,"USD"
202,2020,"AF1815","economy",NA,NA,1,"USD"
203,2020,"DL408","economy","JFK","ZRH",2,"USD"
204,2020,"IB3476","economy","MAD","ZRH",1,"USD"
205,2020,"IB3477","economy","ZRH","MAD",1,"USD"
206,2020,"IB8834","economy","MAD","EAS",1,"USD"
207,2020,"IB8841","economy","EAS","MAD",1,"USD"
208,2020,"KL1684","economy",NA,NA,1,"USD"
209,2020,"KL1957","economy",NA,NA,1,"USD"
210,2020,"LX8","economy","ZRH","ORD",1,"USD"
211,2020,"LX16","economy",NA,NA,1,"USD"
212,2020,"LX19","economy",NA,NA,1,"USD"
213,2020,"LX316","economy","ZRH","LHR",1,"USD"
