"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
1,2020,"LX",4425,"business","CGN","ZRH",1,"USD",200,50.86589813,7.142739773,"DE",47.458056,8.548056,"CH",392.8902733,0.50904798
2,2020,"OS",420,"business","CDG","VIE",1,"USD",400,49.012798,2.55,"FR",48.110298,16.5697,"AT",1036.250807,0.386006937
3,2020,"OS",553,"business","VIE","ZRH",1,"USD",300,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.496605668
4,2020,"OS",763,"business","VIE","VAR",1,"USD",400,48.110298,16.5697,"AT",43.232101,27.8251,"BG",1028.715683,0.388834356
5,2020,"OS",764,"business","VAR","VIE",1,"USD",400,43.232101,27.8251,"BG",48.110298,16.5697,"AT",1028.715683,0.388834356
6,2020,"SU",2392,"business","SVO","ZRH",1,"USD",800,55.972599,37.4146,"RU",47.458056,8.548056,"CH",2183.592398,0.366368742
7,2020,"SU",2393,"business","ZRH","SVO",1,"USD",800,47.458056,8.548056,"CH",55.972599,37.4146,"RU",2183.592398,0.366368742
8,2020,"LX",964,"business","ZRH","BER",1,"USD",300,47.458056,8.548056,"CH",52.351389,13.493889,"DE",649.6292465,0.461801869
9,2020,"LX",969,"business","BER","ZRH",1,"USD",300,52.351389,13.493889,"DE",47.458056,8.548056,"CH",649.6292465,0.461801869
10,2020,"DL",66,"business","ATL","ZRH",1,"USD",2800,33.6367,-84.428101,"US",47.458056,8.548056,"CH",7540.197064,0.37134308
11,2020,"DL",67,"business","ZRH","ATL",1,"USD",2800,47.458056,8.548056,"CH",33.6367,-84.428101,"US",7540.197064,0.37134308
12,2020,"EI",100,"business","EWR","DUB",2,"USD",1900,40.692501,-74.168701,"US",53.421299,-6.27007,"IE",5130.205615,0.370355526
13,2020,"EI",342,"business","DUB","ZRH",2,"USD",400,53.421299,-6.27007,"IE",47.458056,8.548056,"CH",1239.091519,0.322817156
14,2020,"LX",3218,"business","ZRH","EWR",2,"USD",2300,47.458056,8.548056,"CH",40.692501,-74.168701,"US",6339.626061,0.362797423
15,2020,"IB",8771,"business","TRN","MAD",1,"USD",400,45.200802,7.64963,"IT",40.471926,-3.56264,"ES",1054.456636,0.379342295
16,2020,"LX",424,"business","ZRH","BHX",1,"USD",300,47.458056,8.548056,"CH",52.45389938,-1.748029947,"GB",922.1667351,0.325320778
17,2020,"LX",425,"business","BHX","ZRH",1,"USD",300,52.45389938,-1.748029947,"GB",47.458056,8.548056,"CH",922.1667351,0.325320778
18,2020,"LX",1736,"business","ZRH","FCO",1,"USD",300,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.432163896
19,2020,"LX",1737,"business","FCO","ZRH",1,"USD",300,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.432163896
20,2020,"LX",1955,"business","BCN","ZRH",1,"USD",300,41.2971,2.07846,"ES",47.458056,8.548056,"CH",856.8630511,0.350114291
21,2020,"LX",2027,"business","MAD","ZRH",1,"USD",400,40.471926,-3.56264,"ES",47.458056,8.548056,"CH",1241.07864,0.322300286
22,2020,"LX",2142,"business","ZRH","VLC",1,"USD",400,47.458056,8.548056,"CH",39.4893,-0.481625,"ES",1146.868451,0.348775834
23,2020,"LX",2143,"business","VLC","ZRH",1,"USD",400,39.4893,-0.481625,"ES",47.458056,8.548056,"CH",1146.868451,0.348775834
24,2020,"",NA,"business","FCO","ZRH",1,"USD",300,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.432163896
25,2020,"",NA,"business","ZRH","FCO",1,"USD",300,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.432163896
26,2020,"LX",1579,"business","VIE","ZRH",1,"USD",300,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.496605668
27,2020,"LX",1582,"business","ZRH","VIE",1,"USD",300,47.458056,8.548056,"CH",48.110298,16.5697,"AT",604.1010393,0.496605668
28,2020,"LH",1181,"business","OPO","FRA",1,"USD",500,41.24810028,-8.681389809,"PT",50.033333,8.570556,"DE",1654.597019,0.302188384
29,2020,"LH",9126,"business","FRA","SFO",1,"USD",3400,50.033333,8.570556,"DE",37.61899948,-122.375,"US",9158.95661,0.371221324
30,2020,"LX",38,"business","ZRH","SFO",1,"USD",3500,47.458056,8.548056,"CH",37.61899948,-122.375,"US",9386.756338,0.372865756
31,2020,"LX",38,"business","ZRH","SFO",1,"USD",3500,47.458056,8.548056,"CH",37.61899948,-122.375,"US",9386.756338,0.372865756
32,2020,"LX",38,"business","ZRH","SFO",1,"USD",3500,47.458056,8.548056,"CH",37.61899948,-122.375,"US",9386.756338,0.372865756
33,2020,"LX",39,"business","SFO","ZRH",1,"USD",3500,37.61899948,-122.375,"US",47.458056,8.548056,"CH",9386.756338,0.372865756
34,2020,"LX",39,"business","SFO","ZRH",3,"USD",3500,37.61899948,-122.375,"US",47.458056,8.548056,"CH",9386.756338,0.372865756
35,2020,"LX",2580,"business","ZRH","SKG",1,"USD",400,47.458056,8.548056,"CH",40.5196991,22.97089958,"GR",1386.120413,0.288575218
36,2020,"LX",2581,"business","SKG","ZRH",1,"USD",400,40.5196991,22.97089958,"GR",47.458056,8.548056,"CH",1386.120413,0.288575218
37,2020,"LX",19,"business","EWR","ZRH",1,"USD",2300,40.692501,-74.168701,"US",47.458056,8.548056,"CH",6339.626061,0.362797423
38,2020,"LX",52,"business","ZRH","BOS",1,"USD",2200,47.458056,8.548056,"CH",42.3643,-71.005203,"US",6016.976889,0.365632117
39,2020,"LX",1579,"business","VIE","ZRH",1,"USD",300,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.496605668
40,2020,"OS",562,"business","ZRH","VIE",1,"USD",300,47.458056,8.548056,"CH",48.110298,16.5697,"AT",604.1010393,0.496605668
41,2020,"",NA,"business","BOS","YYZ",1,"USD",300,42.3643,-71.005203,"US",43.67720032,-79.63059998,"CA",716.6861155,0.418593291
42,2020,"",NA,"business","YUL","BOS",1,"USD",200,45.47060013,-73.74079895,"CA",42.3643,-71.005203,"US",409.4416604,0.488470079
43,2020,"AC",872,"business","YYZ","FRA",1,"USD",2300,43.67720032,-79.63059998,"CA",50.033333,8.570556,"DE",6351.077152,0.362143294
44,2020,"AC",8295,"business","BOS","YYZ",1,"USD",300,42.3643,-71.005203,"US",43.67720032,-79.63059998,"CA",716.6861155,0.418593291
45,2020,"LH",1186,"business","FRA","ZRH",1,"USD",200,50.033333,8.570556,"DE",47.458056,8.548056,"CH",286.6832779,0.697633993
46,2020,"LX",55,"business","BOS","ZRH",1,"USD",2200,42.3643,-71.005203,"US",47.458056,8.548056,"CH",6016.976889,0.365632117
47,2020,"LX",1225,"business","ARN","ZRH",1,"USD",500,59.65190125,17.91860008,"SE",47.458056,8.548056,"CH",1488.811092,0.335838444
48,2020,"LX",1254,"business","ZRH","ARN",1,"USD",500,47.458056,8.548056,"CH",59.65190125,17.91860008,"SE",1488.811092,0.335838444
49,2020,"BA",981,"business","TXL","LHR",1,"USD",300,52.5597,13.2877,"DE",51.4706,-0.461941,"GB",948.3056585,0.316353696
50,2020,"BA",982,"business","LHR","TXL",1,"USD",300,51.4706,-0.461941,"GB",52.5597,13.2877,"DE",948.3056585,0.316353696
51,2020,"KL",1958,"business","ZRH","AMS",1,"USD",300,47.458056,8.548056,"CH",52.308601,4.76389,"NL",604.1411303,0.496572713
52,2020,"KL",3598,"business","AMS","MRS",1,"USD",400,52.308601,4.76389,"NL",43.43927192,5.221424103,"FR",987.9145702,0.40489331
56,2020,"AF",1615,"business","ZRH","CDG",1,"USD",200,47.458056,8.548056,"CH",49.012798,2.55,"FR",477.0600589,0.419234426
57,2020,"KL",741,"business","AMS","BOG",1,"USD",3300,52.308601,4.76389,"NL",4.70159,-74.1469,"CO",8851.025668,0.372838146
59,2020,"LH",329,"business","VCE","FRA",1,"USD",300,45.505299,12.3519,"IT",50.033333,8.570556,"DE",577.8484584,0.519167259
60,2020,"LH",1090,"business","FRA","FAO",1,"USD",700,50.033333,8.570556,"DE",37.01440048,-7.965909958,"PT",1961.524142,0.35686535
61,2020,"LX",19,"business","EWR","ZRH",1,"USD",2300,40.692501,-74.168701,"US",47.458056,8.548056,"CH",6339.626061,0.362797423
62,2020,"LX",1662,"business","ZRH","VCE",1,"USD",200,47.458056,8.548056,"CH",45.505299,12.3519,"IT",363.6190444,0.550026197
