"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
1,2020,"LX",4425,"economy","CGN","ZRH",1,"USD",200,50.86589813,7.142739773,"DE",47.458056,8.548056,"CH",392.8902733,0.50904798
2,2020,"OS",420,"economy","CDG","VIE",1,"USD",300,49.012798,2.55,"FR",48.110298,16.5697,"AT",1036.250807,0.289505203
3,2020,"OS",553,"economy","VIE","ZRH",1,"USD",200,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.331070445
4,2020,"OS",763,"economy","VIE","VAR",1,"USD",300,48.110298,16.5697,"AT",43.232101,27.8251,"BG",1028.715683,0.291625767
5,2020,"OS",764,"economy","VAR","VIE",1,"USD",300,43.232101,27.8251,"BG",48.110298,16.5697,"AT",1028.715683,0.291625767
6,2020,"SU",2392,"economy","SVO","ZRH",1,"USD",500,55.972599,37.4146,"RU",47.458056,8.548056,"CH",2183.592398,0.228980464
7,2020,"SU",2393,"economy","ZRH","SVO",1,"USD",500,47.458056,8.548056,"CH",55.972599,37.4146,"RU",2183.592398,0.228980464
8,2020,"LX",964,"economy","ZRH","BER",1,"USD",200,47.458056,8.548056,"CH",52.351389,13.493889,"DE",649.6292465,0.307867912
9,2020,"LX",969,"economy","BER","ZRH",1,"USD",200,52.351389,13.493889,"DE",47.458056,8.548056,"CH",649.6292465,0.307867912
10,2020,"DL",66,"economy","ATL","ZRH",1,"USD",1500,33.6367,-84.428101,"US",47.458056,8.548056,"CH",7540.197064,0.198933793
11,2020,"DL",67,"economy","ZRH","ATL",1,"USD",1500,47.458056,8.548056,"CH",33.6367,-84.428101,"US",7540.197064,0.198933793
12,2020,"EI",100,"economy","EWR","DUB",2,"USD",1000,40.692501,-74.168701,"US",53.421299,-6.27007,"IE",5130.205615,0.194923961
13,2020,"EI",342,"economy","DUB","ZRH",2,"USD",300,53.421299,-6.27007,"IE",47.458056,8.548056,"CH",1239.091519,0.242112867
14,2020,"LX",3218,"economy","ZRH","EWR",2,"USD",1200,47.458056,8.548056,"CH",40.692501,-74.168701,"US",6339.626061,0.189285612
15,2020,"IB",8771,"economy","TRN","MAD",1,"USD",300,45.200802,7.64963,"IT",40.471926,-3.56264,"ES",1054.456636,0.284506721
16,2020,"LX",424,"economy","ZRH","BHX",1,"USD",300,47.458056,8.548056,"CH",52.45389938,-1.748029947,"GB",922.1667351,0.325320778
17,2020,"LX",425,"economy","BHX","ZRH",1,"USD",300,52.45389938,-1.748029947,"GB",47.458056,8.548056,"CH",922.1667351,0.325320778
18,2020,"LX",1736,"economy","ZRH","FCO",1,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
19,2020,"LX",1737,"economy","FCO","ZRH",1,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
20,2020,"LX",1955,"economy","BCN","ZRH",1,"USD",300,41.2971,2.07846,"ES",47.458056,8.548056,"CH",856.8630511,0.350114291
21,2020,"LX",2027,"economy","MAD","ZRH",1,"USD",300,40.471926,-3.56264,"ES",47.458056,8.548056,"CH",1241.07864,0.241725214
22,2020,"LX",2142,"economy","ZRH","VLC",1,"USD",300,47.458056,8.548056,"CH",39.4893,-0.481625,"ES",1146.868451,0.261581875
23,2020,"LX",2143,"economy","VLC","ZRH",1,"USD",300,39.4893,-0.481625,"ES",47.458056,8.548056,"CH",1146.868451,0.261581875
24,2020,"",NA,"economy","FCO","ZRH",1,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
25,2020,"",NA,"economy","ZRH","FCO",1,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
26,2020,"LX",1579,"economy","VIE","ZRH",1,"USD",200,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.331070445
27,2020,"LX",1582,"economy","ZRH","VIE",1,"USD",200,47.458056,8.548056,"CH",48.110298,16.5697,"AT",604.1010393,0.331070445
28,2020,"LH",1181,"economy","OPO","FRA",1,"USD",400,41.24810028,-8.681389809,"PT",50.033333,8.570556,"DE",1654.597019,0.241750708
29,2020,"LH",9126,"economy","FRA","SFO",1,"USD",1800,50.033333,8.570556,"DE",37.61899948,-122.375,"US",9158.95661,0.196528936
30,2020,"LX",38,"economy","ZRH","SFO",1,"USD",1800,47.458056,8.548056,"CH",37.61899948,-122.375,"US",9386.756338,0.191759532
31,2020,"LX",38,"economy","ZRH","SFO",1,"USD",1800,47.458056,8.548056,"CH",37.61899948,-122.375,"US",9386.756338,0.191759532
32,2020,"LX",38,"economy","ZRH","SFO",1,"USD",1800,47.458056,8.548056,"CH",37.61899948,-122.375,"US",9386.756338,0.191759532
33,2020,"LX",39,"economy","SFO","ZRH",1,"USD",1800,37.61899948,-122.375,"US",47.458056,8.548056,"CH",9386.756338,0.191759532
34,2020,"LX",39,"economy","SFO","ZRH",3,"USD",1800,37.61899948,-122.375,"US",47.458056,8.548056,"CH",9386.756338,0.191759532
35,2020,"LX",2580,"economy","ZRH","SKG",1,"USD",300,47.458056,8.548056,"CH",40.5196991,22.97089958,"GR",1386.120413,0.216431413
36,2020,"LX",2581,"economy","SKG","ZRH",1,"USD",300,40.5196991,22.97089958,"GR",47.458056,8.548056,"CH",1386.120413,0.216431413
37,2020,"LX",19,"economy","EWR","ZRH",1,"USD",1200,40.692501,-74.168701,"US",47.458056,8.548056,"CH",6339.626061,0.189285612
38,2020,"LX",52,"economy","ZRH","BOS",1,"USD",1200,47.458056,8.548056,"CH",42.3643,-71.005203,"US",6016.976889,0.1994357
39,2020,"LX",1579,"economy","VIE","ZRH",1,"USD",200,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.331070445
40,2020,"OS",562,"economy","ZRH","VIE",1,"USD",200,47.458056,8.548056,"CH",48.110298,16.5697,"AT",604.1010393,0.331070445
41,2020,"",NA,"economy","BOS","YYZ",1,"USD",200,42.3643,-71.005203,"US",43.67720032,-79.63059998,"CA",716.6861155,0.279062194
42,2020,"",NA,"economy","YUL","BOS",1,"USD",200,45.47060013,-73.74079895,"CA",42.3643,-71.005203,"US",409.4416604,0.488470079
43,2020,"AC",872,"economy","YYZ","FRA",1,"USD",1200,43.67720032,-79.63059998,"CA",50.033333,8.570556,"DE",6351.077152,0.188944327
44,2020,"AC",8295,"economy","BOS","YYZ",1,"USD",200,42.3643,-71.005203,"US",43.67720032,-79.63059998,"CA",716.6861155,0.279062194
45,2020,"LH",1186,"economy","FRA","ZRH",1,"USD",200,50.033333,8.570556,"DE",47.458056,8.548056,"CH",286.6832779,0.697633993
46,2020,"LX",55,"economy","BOS","ZRH",1,"USD",1200,42.3643,-71.005203,"US",47.458056,8.548056,"CH",6016.976889,0.1994357
47,2020,"LX",1225,"economy","ARN","ZRH",1,"USD",400,59.65190125,17.91860008,"SE",47.458056,8.548056,"CH",1488.811092,0.268670755
48,2020,"LX",1254,"economy","ZRH","ARN",1,"USD",400,47.458056,8.548056,"CH",59.65190125,17.91860008,"SE",1488.811092,0.268670755
49,2020,"BA",981,"economy","TXL","LHR",1,"USD",300,52.5597,13.2877,"DE",51.4706,-0.461941,"GB",948.3056585,0.316353696
50,2020,"BA",982,"economy","LHR","TXL",1,"USD",300,51.4706,-0.461941,"GB",52.5597,13.2877,"DE",948.3056585,0.316353696
51,2020,"KL",1958,"economy","ZRH","AMS",1,"USD",200,47.458056,8.548056,"CH",52.308601,4.76389,"NL",604.1411303,0.331048475
52,2020,"KL",3598,"economy","AMS","MRS",1,"USD",300,52.308601,4.76389,"NL",43.43927192,5.221424103,"FR",987.9145702,0.303669982
56,2020,"AF",1615,"economy","ZRH","CDG",1,"USD",200,47.458056,8.548056,"CH",49.012798,2.55,"FR",477.0600589,0.419234426
57,2020,"KL",741,"economy","AMS","BOG",1,"USD",1700,52.308601,4.76389,"NL",4.70159,-74.1469,"CO",8851.025668,0.192068136
59,2020,"LH",329,"economy","VCE","FRA",1,"USD",200,45.505299,12.3519,"IT",50.033333,8.570556,"DE",577.8484584,0.346111506
60,2020,"LH",1090,"economy","FRA","FAO",1,"USD",400,50.033333,8.570556,"DE",37.01440048,-7.965909958,"PT",1961.524142,0.203923057
61,2020,"LX",19,"economy","EWR","ZRH",1,"USD",1200,40.692501,-74.168701,"US",47.458056,8.548056,"CH",6339.626061,0.189285612
62,2020,"LX",1662,"economy","ZRH","VCE",1,"USD",200,47.458056,8.548056,"CH",45.505299,12.3519,"IT",363.6190444,0.550026197
67,2020,"KL",1958,"economy","ZRH","AMS",1,"USD",200,47.458056,8.548056,"CH",52.308601,4.76389,"NL",604.1411303,0.331048475
68,2020,"KL",1969,"economy","AMS","ZRH",1,"USD",200,52.308601,4.76389,"NL",47.458056,8.548056,"CH",604.1411303,0.331048475
69,2020,"KL",3598,"economy","AMS","MRS",1,"USD",300,52.308601,4.76389,"NL",43.43927192,5.221424103,"FR",987.9145702,0.303669982
70,2020,"KL",3601,"economy","MRS","AMS",1,"USD",300,43.43927192,5.221424103,"FR",52.308601,4.76389,"NL",987.9145702,0.303669982
71,2020,"LX",980,"economy","ZRH","TXL",1,"USD",200,47.458056,8.548056,"CH",52.5597,13.2877,"DE",661.1069083,0.302522932
72,2020,"LX",983,"economy","TXL","ZRH",1,"USD",200,52.5597,13.2877,"DE",47.458056,8.548056,"CH",661.1069083,0.302522932
73,2020,"OS",188,"economy","STR","VIE",1,"USD",200,48.68989944,9.221960068,"DE",48.110298,16.5697,"AT",546.6568262,0.365860244
74,2020,"OS",569,"economy","VIE","ZRH",1,"USD",200,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.331070445
75,2020,"",NA,"economy","CDG","DME",1,"USD",500,49.012798,2.55,"FR",55.40879822,37.90629959,"RU",2484.250641,0.201267936
76,2020,"",NA,"economy","DME","CDG",1,"USD",500,55.40879822,37.90629959,"RU",49.012798,2.55,"FR",2484.250641,0.201267936
77,2020,"LX",1662,"economy","ZRH","VCE",1,"USD",200,47.458056,8.548056,"CH",45.505299,12.3519,"IT",363.6190444,0.550026197
78,2020,"LX",1663,"economy","VCE","ZRH",1,"USD",200,45.505299,12.3519,"IT",47.458056,8.548056,"CH",363.6190444,0.550026197
79,2020,"G",31028,"economy","CGH","SDU",1,"USD",200,-23.62611008,-46.65638733,"BR",-22.91049957,-43.1631012,"BR",366.0041876,0.546441835
80,2020,"G",31039,"economy","SDU","CGH",1,"USD",200,-22.91049957,-43.1631012,"BR",-23.62611008,-46.65638733,"BR",366.0041876,0.546441835
81,2020,"LX",93,"economy","GRU","ZRH",1,"USD",1900,-23.431944,-46.467778,"BR",47.458056,8.548056,"CH",9618.573666,0.197534485
82,2020,"EW",762,"economy","CGN","ZRH",1,"USD",200,50.86589813,7.142739773,"DE",47.458056,8.548056,"CH",392.8902733,0.50904798
83,2020,"EW",763,"economy","ZRH","CGN",1,"USD",200,47.458056,8.548056,"CH",50.86589813,7.142739773,"DE",392.8902733,0.50904798
84,2020,"LX",326,"economy","ZRH","LHR",1,"USD",300,47.458056,8.548056,"CH",51.4706,-0.461941,"GB",789.3363672,0.380066107
85,2020,"LX",327,"economy","LHR","ZRH",1,"USD",300,51.4706,-0.461941,"GB",47.458056,8.548056,"CH",789.3363672,0.380066107
86,2020,"LX",1012,"economy","ZRH","DUS",1,"USD",200,47.458056,8.548056,"CH",51.289501,6.76678,"DE",445.5918078,0.448841286
87,2020,"LX",1013,"economy","DUS","ZRH",1,"USD",200,51.289501,6.76678,"DE",47.458056,8.548056,"CH",445.5918078,0.448841286
88,2020,"AZ",57,"economy","FCO","ZRH",1,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
89,2020,"AZ",568,"economy","FCO","GVA",1,"USD",200,41.804532,12.251998,"IT",46.23809814,6.108950138,"CH",696.2893053,0.287236927
90,2020,"AZ",571,"economy","ZRH","FCO",1,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
91,2020,"AZ",572,"economy","FCO","ZRH",1,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
92,2020,"AZ",575,"economy","GVA","FCO",1,"USD",200,46.23809814,6.108950138,"CH",41.804532,12.251998,"IT",696.2893053,0.287236927
93,2020,"LX",17,"economy","JFK","ZRH",1,"USD",1200,40.639801,-73.7789,"US",47.458056,8.548056,"CH",6316.7853,0.189970047
94,2020,"LX",1012,"economy","ZRH","DUS",1,"USD",200,47.458056,8.548056,"CH",51.289501,6.76678,"DE",445.5918078,0.448841286
96,2020,"LX",1416,"economy","ZRH","BEG",1,"USD",300,47.458056,8.548056,"CH",44.81840134,20.3090992,"RS",952.4838625,0.314965966
97,2020,"LX",1417,"economy","BEG","ZRH",1,"USD",300,44.81840134,20.3090992,"RS",47.458056,8.548056,"CH",952.4838625,0.314965966
98,2020,"LX",1726,"economy","ZRH","FCO",1,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
99,2020,"LX",1727,"economy","FCO","ZRH",1,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
100,2020,"LX",1732,"economy","ZRH","FCO",5,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
101,2020,"LX",1733,"economy","FCO","ZRH",2,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
102,2020,"LX",1736,"economy","ZRH","FCO",1,"USD",200,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.288109264
103,2020,"LX",1737,"economy","FCO","ZRH",3,"USD",200,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.288109264
