"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl Flugsegmente","currencies"
1,2020,"LX","4425","economy","CGN","ZRH",1,"USD"
2,2020,"OS","420","economy","CDG","VIE",1,"USD"
3,2020,"OS","553","economy","VIE","ZRH",1,"USD"
4,2020,"OS","763","economy","VIE","VAR",1,"USD"
5,2020,"OS","764","economy","VAR","VIE",1,"USD"
6,2020,"SU","2392","economy",NA,NA,1,"USD"
7,2020,"SU","2393","economy",NA,NA,1,"USD"
8,2020,"LX","964","economy","ZRH","BER",1,"USD"
9,2020,"LX","969","economy","BER","ZRH",1,"USD"
10,2020,"DL","66","economy","ATL","ZRH",1,"USD"
11,2020,"DL","67","economy","ZRH","ATL",1,"USD"
12,2020,"EI","100","economy","EWR","DUB",2,"USD"
13,2020,"EI","342","economy","DUB","ZRH",2,"USD"
14,2020,"LX","3218","economy","ZRH","EWR",2,"USD"
15,2020,"IB","8771","economy","TRN","MAD",1,"USD"
16,2020,"LX","424","economy","ZRH","BHX",1,"USD"
17,2020,"LX","425","economy","BHX","ZRH",1,"USD"
18,2020,"LX","1736","economy","ZRH","FCO",1,"USD"
19,2020,"LX","1737","economy","FCO","ZRH",1,"USD"
20,2020,"LX","1955","economy","BCN","ZRH",1,"USD"
21,2020,"LX","2027","economy","MAD","ZRH",1,"USD"
22,2020,"LX","2142","economy","ZRH","VLC",1,"USD"
23,2020,"LX","2143","economy","VLC","ZRH",1,"USD"
24,2020,NA,NA,"economy","FCO","ZRH",1,"USD"
25,2020,NA,NA,"economy","ZRH","FCO",1,"USD"
26,2020,"LX","1579","economy","VIE","ZRH",1,"USD"
27,2020,"LX","1582","economy","ZRH","VIE",1,"USD"
28,2020,"LH","1181","economy","OPO","FRA",1,"USD"
29,2020,"LH","9126","economy","FRA","SFO",1,"USD"
30,2020,"LX","38","business","ZRH","SFO",1,"USD"
31,2020,"LX","38","economy",NA,NA,1,"USD"
32,2020,"LX","38","economy","ZRH","SFO",1,"USD"
33,2020,"LX","39","economy",NA,NA,1,"USD"
34,2020,"LX","39","economy","SFO","ZRH",3,"USD"
35,2020,"LX","2580","economy","ZRH","SKG",1,"USD"
36,2020,"LX","2581","economy","SKG","ZRH",1,"USD"
37,2020,"LX","19","economy","EWR","ZRH",1,"USD"
38,2020,"LX","52","economy","ZRH","BOS",1,"USD"
39,2020,"LX","1579","economy","VIE","ZRH",1,"USD"
40,2020,"OS","562","economy","ZRH","VIE",1,"USD"
41,2020,NA,NA,"economy","BOS","YYZ",1,"USD"
42,2020,NA,NA,"economy","YUL","BOS",1,"USD"
43,2020,"AC","872","economy","YYZ","FRA",1,"USD"
44,2020,"AC","8295","economy","BOS","YYZ",1,"USD"
45,2020,"LH","1186","economy","FRA","ZRH",1,"USD"
46,2020,"LX","55","economy","BOS","ZRH",1,"USD"
47,2020,"LX","1225","economy","ARN","ZRH",1,"USD"
48,2020,"LX","1254","economy","ZRH","ARN",1,"USD"
49,2020,"BA","981","economy","TXL","LHR",1,"USD"
50,2020,"BA","982","economy","LHR","TXL",1,"USD"
51,2020,"KL","1958","economy","ZRH","AMS",1,"USD"
52,2020,"KL","3598","economy","AMS","MRS",1,"USD"
53,2020,"A","3850","economy",NA,NA,1,"USD"
54,2020,"A","3929","economy",NA,NA,1,"USD"
55,2020,"AF","428","economy",NA,NA,1,"USD"
56,2020,"AF","1615","economy",NA,NA,1,"USD"
57,2020,"KL","741","economy",NA,NA,1,"USD"
58,2020,"KL","1959","economy",NA,NA,1,"USD"
59,2020,"LH","329","economy",NA,NA,1,"USD"
60,2020,"LH","1090","economy",NA,NA,1,"USD"
61,2020,"LX","19","economy",NA,NA,1,"USD"
62,2020,"LX","1662","economy",NA,NA,1,"USD"
63,2020,"LX","2612","economy",NA,NA,1,"USD"
64,2020,"T","79015","economy",NA,NA,1,"USD"
65,2020,"U","21161","economy",NA,NA,1,"USD"
66,2020,"W","61559","economy",NA,NA,1,"USD"
67,2020,"KL","1958","economy","ZRH","AMS",1,"USD"
68,2020,"KL","1969","economy","AMS","ZRH",1,"USD"
69,2020,"KL","3598","economy","AMS","MRS",1,"USD"
70,2020,"KL","3601","economy","MRS","AMS",1,"USD"
71,2020,"LX","980","economy","ZRH","TXL",1,"USD"
72,2020,"LX","983","economy","TXL","ZRH",1,"USD"
73,2020,"OS","188","economy","STR","VIE",1,"USD"
74,2020,"OS","569","economy","VIE","ZRH",1,"USD"
75,2020,NA,NA,"economy","CDG","DME",1,"USD"
76,2020,NA,NA,"economy","DME","CDG",1,"USD"
77,2020,"LX","1662","economy","ZRH","VCE",1,"USD"
78,2020,"LX","1663","economy","VCE","ZRH",1,"USD"
79,2020,"G","31028","economy","CGH","SDU",1,"USD"
80,2020,"G","31039","economy","SDU","CGH",1,"USD"
81,2020,"LX","93","business","GRU","ZRH",1,"USD"
82,2020,"EW","762","economy","CGN","ZRH",1,"USD"
83,2020,"EW","763","economy","ZRH","CGN",1,"USD"
84,2020,"LX","326","economy","ZRH","LHR",1,"USD"
85,2020,"LX","327","economy","LHR","ZRH",1,"USD"
86,2020,"LX","1012","economy","ZRH","DUS",1,"USD"
87,2020,"LX","1013","economy","DUS","ZRH",1,"USD"
88,2020,"AZ","57","economy","FCO","ZRH",1,"USD"
89,2020,"AZ","568","economy","FCO","GVA",1,"USD"
90,2020,"AZ","571","economy","ZRH","FCO",1,"USD"
91,2020,"AZ","572","economy","FCO","ZRH",1,"USD"
92,2020,"AZ","575","economy","GVA","FCO",1,"USD"
93,2020,"LX","17","economy","JFK","ZRH",1,"USD"
94,2020,"LX","1012","economy",NA,NA,1,"USD"
95,2020,"LX","1019","economy",NA,NA,1,"USD"
96,2020,"LX","1416","economy",NA,NA,1,"USD"
97,2020,"LX","1417","economy",NA,NA,1,"USD"
98,2020,"LX","1726","economy","ZRH","FCO",1,"USD"
99,2020,"LX","1727","economy","FCO","ZRH",1,"USD"
100,2020,"LX","1732","economy","ZRH","FCO",5,"USD"
101,2020,"LX","1733","economy","FCO","ZRH",2,"USD"
102,2020,"LX","1736","economy","ZRH","FCO",1,"USD"
103,2020,"LX","1737","economy","FCO","ZRH",3,"USD"
104,2020,"QR","95","economy","DOH","ZRH",1,"USD"
105,2020,"QR","96","economy","ZRH","DOH",1,"USD"
106,2020,"QR","1370","economy","CPT","DOH",1,"USD"
107,2020,"QR","1371","economy","DOH","CPT",1,"USD"
108,2020,NA,NA,"economy","AEP","REL",1,"USD"
109,2020,NA,NA,"economy","REL","AEP",1,"USD"
110,2020,"4M","7820","economy","EZE","MIA",1,"USD"
111,2020,"4M","7821","economy","MIA","EZE",1,"USD"
112,2020,"DL","40","economy","JFK","ZRH",1,"USD"
113,2020,"DL","407","economy","ZRH","JFK",1,"USD"
114,2020,"EW","769","economy","ZRH","CGN",1,"USD"
115,2020,"EW","7037","economy","CGN","HAM",1,"USD"
116,2020,"EW","7175","economy","MUC","HAM",1,"USD"
117,2020,"EW","7176","economy","HAM","MUC",1,"USD"
118,2020,"EW","7177","economy","MUC","HAM",1,"USD"
119,2020,"EW","7764","economy","HAM","ZRH",1,"USD"
120,2020,"LX","1052","economy","ZRH","HAM",1,"USD"
121,2020,"LX","1053","economy","HAM","ZRH",1,"USD"
122,2020,"LX","1056","economy","ZRH","HAM",1,"USD"
123,2020,"LX","1057","economy","HAM","ZRH",1,"USD"
124,2020,"LX","1125","economy","MUC","GVA",1,"USD"
125,2020,"LX","1267","economy","CPH","ZRH",1,"USD"
126,2020,"LX","1272","economy","ZRH","CPH",1,"USD"
127,2020,"LX","3559","economy","VIE","ZRH",1,"USD"
128,2020,"UA","9726","economy","ZRH","ORD",1,"USD"
129,2020,"UA","9727","economy","ORD","ZRH",1,"USD"
130,2020,"UA","9808","economy","ZRH","MIA",1,"USD"
131,2020,NA,NA,"economy","EZE","FRA",1,"USD"
132,2020,"A","37333","economy","CHQ","ATH",1,"USD"
133,2020,"A","37336","economy","ATH","CHQ",1,"USD"
134,2020,"EW","7764","economy","HAM","ZRH",3,"USD"
135,2020,"EW","7765","economy","ZRH","HAM",1,"USD"
136,2020,"LX","181","economy",NA,NA,1,"USD"
137,2020,"LX","1050","economy","ZRH","HAM",1,"USD"
138,2020,"LX","1052","economy","ZRH","HAM",1,"USD"
139,2020,"LX","1053","economy","HAM","ZRH",1,"USD"
140,2020,"LX","1054","economy","ZRH","HAM",1,"USD"
141,2020,"LX","1583","economy","VIE","ZRH",1,"USD"
142,2020,"LX","1831","economy","ATH","ZRH",1,"USD"
143,2020,"LX","1838","economy","ZRH","ATH",1,"USD"
144,2020,"LX","3570","economy","ZRH","VIE",1,"USD"
145,2020,NA,NA,"economy","DME","ZRH",1,"USD"
146,2020,"LX","1055","economy","HAM","ZRH",1,"USD"
147,2020,"LX","1056","economy","ZRH","HAM",1,"USD"
148,2020,"LX","1305","economy","LED","GVA",1,"USD"
149,2020,"LX","1310","economy","ZRH","LED",1,"USD"
150,2020,"LX","1326","economy","ZRH","DME",1,"USD"
151,2020,"LX","2817","economy","GVA","ZRH",1,"USD"
152,2020,"OS","569","economy","VIE","ZRH",1,"USD"
153,2020,"OS","570","economy","ZRH","VIE",1,"USD"
154,2020,"KL","1958","economy","ZRH","AMS",1,"USD"
155,2020,"KL","1969","economy","AMS","ZRH",1,"USD"
156,2020,"KL","1995","economy","AMS","KRK",1,"USD"
157,2020,"KL","1996","economy","KRK","AMS",1,"USD"
158,2020,"CA","1596","economy","HGH","PEK",1,"USD"
159,2020,"MF","8146","economy","PEK","HGH",1,"USD"
160,2020,"WK","90","economy","ZRH","EZE",1,"USD"
161,2020,"WK","91","economy","EZE","ZRH",1,"USD"
162,2020,NA,NA,"economy","SFO","DEN",1,"USD"
163,2020,"BA","218","economy","DEN","LHR",1,"USD"
164,2020,"BA","285","economy","LHR","SFO",1,"USD"
165,2020,"BA","709","economy","ZRH","LHR",1,"USD"
166,2020,"BA","980","economy","LHR","TXL",1,"USD"
167,2020,"DL","407","economy","ZRH","JFK",2,"USD"
168,2020,"DL","2219","economy","JFK","DEN",2,"USD"
169,2020,"LX","919","economy","DRS","ZRH",1,"USD"
170,2020,"AC","864","economy",NA,NA,1,"USD"
171,2020,"AC","6821","economy",NA,NA,1,"USD"
172,2020,"AC","6830","economy",NA,NA,1,"USD"
173,2020,"LH","2367","economy","ZRH","MUC",1,"USD"
174,2020,"LH","2370","economy","MUC","ZRH",1,"USD"
175,2020,"LH","9488","economy","MUC","PSA",1,"USD"
176,2020,"LH","9489","economy","PSA","MUC",1,"USD"
177,2020,"LX","38","economy","ZRH","SFO",1,"USD"
178,2020,"LX","39","economy","SFO","ZRH",1,"USD"
179,2020,"LX","161","economy","NRT","ZRH",1,"USD"
180,2020,"LX","918","economy","ZRH","DRS",1,"USD"
181,2020,"LX","919","economy","DRS","ZRH",1,"USD"
182,2020,"NH","4782","economy","AKJ","HND",1,"USD"
183,2020,"NH","6752","economy","ZRH","NRT",1,"USD"
184,2020,"VY","3286","economy","ACE","ZRH",2,"USD"
185,2020,"VY","3286","economy","ZRH","ACE",1,"USD"
186,2020,"VY","3287","economy","ACE","ZRH",1,"USD"
187,2020,"VY","3287","economy","ZRH","ACE",1,"USD"
188,2020,"WK","228","economy","ZRH","ACE",1,"USD"
189,2020,"EW","7763","economy","ZRH","HAM",2,"USD"
190,2020,"EW","7764","economy","HAM","ZRH",1,"USD"
191,2020,"LH","219","economy","DRS","FRA",1,"USD"
192,2020,"LH","2128","economy","MUC","DRS",1,"USD"
193,2020,"LH","2371","economy","ZRH","MUC",1,"USD"
194,2020,"LH","5778","economy","FRA","ZRH",1,"USD"
195,2020,"LX","316","economy","ZRH","LHR",2,"USD"
196,2020,"LX","333","economy","LHR","ZRH",2,"USD"
197,2020,"LX","339","economy","LHR","ZRH",1,"USD"
198,2020,"LX","450","economy","ZRH","LCY",1,"USD"
199,2020,"LX","1057","economy","HAM","ZRH",1,"USD"
200,2020,"LX","1059","economy","HAM","ZRH",1,"USD"
201,2020,"AF","1376","economy",NA,NA,1,"USD"
202,2020,"AF","1815","economy",NA,NA,1,"USD"
203,2020,"DL","408","economy","JFK","ZRH",2,"USD"
204,2020,"IB","3476","economy","MAD","ZRH",1,"USD"
